editTopo.py edits file version 1
#
# This file can be used as an argument for editTopo.py --apply
#
# created: Thu Oct 15 13:33:18 2020
# by: aek156
# via: ./topogtools/editTopo.py --ref /g/data/ik11/inputs/access-om2/input_20200530/mom_1deg/topog.nc topog_new_deseas_partialcell_mindepth_masked_fixnonadvective.nc
#
# Most of these edits revert the new topography to the values in the previous topography 
# /g/data/ik11/inputs/access-om2/input_20200530/mom_1deg/topog.nc
# at selected points in Denmark Strait, Iceland-Faroe Strait, the Strait of Gibraltar,
# the Lombok, Ombai, Timor, Makassar Straits, the Caribbean, Drake Passage, and a few others.
# The edits in the Red Sea and at (i  j) = (207  295) in the Northwest Passage are the only ones not from the old topography.
# see https://github.com/COSIMA/access-om2/issues/158#issuecomment-669624837
# and https://github.com/aekiss/notebooks/blob/3f2fbc2/bathymetry.ipynb
#
#   i    j  old                 new
   38  124  1098.2969970703125  1800.0
   38  123  1098.2969970703125  1800.0
   38  122  961.63916015625     1800.0
   39  131  627.6714477539062   1450.0
   39  132  627.6714477539062   1450.0
   36  133  11.805749893188477  300.0
   36  132  26.942655563354492  300.0
   36  130  21.097091674804688  300.0
   36  129  19.276151657104492  300.0
   36  128  20.86442756652832   300.0
   36  127  21.097091674804688  300.0
   36  126  26.337305068969727  300.0
   36  125  31.046979904174805  300.0
   36  124  35.363426208496094  300.0
   36  123  45.19316482543945   300.0
   36  122  49.78770446777344   300.0
   36  121  56.55770492553711   300.0
   36  131  25.186992645263672  300.0
   37  121  449.8509216308594   700.0
   38  121  464.0958251953125   700.0
   38  120  246.73709106445312  700.0
   38  119  289.8253173828125   700.0
   38  118  277.3389587402344   700.0
   38  117  228.8570556640625   700.0
   38  116  157.79339599609375  700.0
   37  120  227.82815551757812  700.0
   37  119  207.06686401367188  700.0
   37  118  280.30499267578125  700.0
   37  117  339.7750244140625   700.0
   37  116  339.7750244140625   700.0
   37  115  339.7750244140625   700.0
   37  114  316.845947265625    700.0
   36  120  99.30270385742188   300.0
   36  119  208.32249450683594  300.0
   36  118  270.0274963378906   700.0
   36  117  299.81524658203125  700.0
   36  116  319.57421875        700.0
   36  115  339.7750244140625   700.0
   39  138  1247.3297119140625  1448.9678955078125
   39  137  1247.3297119140625  1448.9678955078125
   39  136  1247.3297119140625  1450.0
   39  135  1193.81884765625    1450.0
   39  134  1247.3297119140625  1450.0
   39  133  1128.103515625      1450.0
   38  135  1247.3297119140625  1450.0
   38  136  1247.3297119140625  1450.0
   38  137  1247.3297119140625  1448.9678955078125
   38  138  1224.1058349609375  1448.9678955078125
   38  139  177.7449188232422   769.4630126953125
   38  140  69.63835906982422   769.4630126953125
   38  141  92.86747741699219   769.4630126953125
   38  142  175.820556640625    769.4630126953125
   37  139  59.05894088745117   769.4630126953125
   37  138  485.3791198730469   769.4630126953125
   40  138  77.5649642944336    769.4630126953125
   40  139  421.1761169433594   769.4630126953125
   39  139  464.0958251953125   769.4630126953125
   41  140  507.5003967285156   1700.0
   42  140  1128.103515625      1995.932861328125
   43  140  1247.3297119140625  1948.4039306640625
   50  132  53.929954528808594  700.0
   50  131  36.01689529418945   700.0
   50  130  101.90380859375     700.0
   51  131  22.50823974609375   700.0
   51  130  49.601871490478516  700.0
   51  129  104.6001205444336   700.0
   51  128  106.69143676757812  700.0
   52  130  12.805749893188477  700.0
   52  129  33.762939453125     700.0
   52  128  31.165279388427734  700.0
   50  129  540.4827880859375   700.0
   50  128  540.4827880859375   700.0
   49  133  397.5320739746094   700.0
   49  132  397.5320739746094   700.0
   49  131  376.22015380859375  700.0
   49  130  489.39727783203125  700.0
   49  129  540.4827880859375   700.0
   49  128  504.4018249511719   700.0
   50  133  209.63919067382812  700.0
   50  134  191.5797119140625   700.0
   50  135  162.7006072998047   650.0
   50  136  81.459228515625     650.0
   51  135  540.4827880859375   1870.0
   52  135  525.531982421875    1870.0
   53  116  161.58395385742188  800.0
   53  115  58.06416320800781   800.0
   53  114  77.5649642944336    800.0
   53  113  115.98686981201172  800.0
   53  112  117.45020294189453  800.0
   53  111  93.90229034423828   800.0
   52  114  89.41149139404297   800.0
   52  113  126.84925842285156  800.0
   52  112  289.8253173828125   800.0
   52  111  263.3693542480469   800.0
   51  112  464.0958251953125   800.0
   51  111  464.0958251953125   800.0
   50  114  1345.4896240234375  2124.23583984375
   50  113  793.468017578125    1247.3297119140625
   50  112  414.5709228515625   1247.3297119140625
   50  111  804.9387817382812   1247.3297119140625
   50  110  837.724365234375    1247.3297119140625
   35  113  1098.2969970703125  700.0
   35  112  1081.211669921875   700.0
   35  111  106.69143676757812  300.0
   35  110  366.77276611328125  300.0
   36  110  106.4893798828125   300.0
   36  111  92.86747741699219   300.0
   36  112  988.970703125       700.0
   36  113  1098.2969970703125  700.0
   36  109  1708.471923828125   1931.341064453125
   38  108  1407.994384765625   1748.434814453125
   39  108  246.73709106445312  922.7387084960938
   39  109  540.4827880859375   922.7387084960938
   45  140  1474.56298828125    2340.0
   45  141  1563.157470703125   2340.0
   45  142  1579.2425537109375  2340.0
   45  143  1745.1502685546875  2340.0
   45  144  1754.24658203125    2340.0
   45  145  1798.1748046875     2340.0
   46  145  1738.5616455078125  2340.0
   46  144  1759.82421875       2340.0
   46  143  1759.82421875       2340.0
   46  142  1579.2425537109375  2340.0
   46  141  1579.2425537109375  2340.0
   46  140  1579.2425537109375  2340.0
   45  139  1759.82421875       2340.0
   46  139  1759.82421875       2340.0
   67  119  126.84925842285156  1000.0
   68  119  122.96125793457031  1000.0
   72  123  1550.64013671875    1987.4561767578125
   72  122  1797.5401611328125  2715.28564453125
   72  121  2239.308837890625   3182.686767578125
   72  120  3182.686767578125   3734.6494140625
   73  120  3078.388427734375   3734.6494140625
   73  121  2344.385498046875   3182.686767578125
   73  122  2143.664794921875   2715.28564453125
   40  141  2344.385498046875   2726.749755859375
   39  141  2344.385498046875   2698.64208984375
   41  141  1861.4476318359375  2023.869140625
   40  140  1494.1868896484375  1573.9267578125
   41  142  3225.680908203125   3587.5537109375
   40  142  3457.90625          3749.158935546875
   45  138  2143.664794921875   2340.0
   46  138  2143.664794921875   2340.0
   46  137  2183.808837890625   2340.0
   46  136  2329.882568359375   2340.0
   46  135  2344.385498046875   2340.0
